Date,DETER,DETER TTM,SAD,SAD TTM
2010-01,23,2905,63,1915
2010-02,185,2947,88,1941
2010-03,52,2981,76,1960
2010-04,52,2996,65,1904
2010-05,110,2982,96,1843
2010-06,244,2647,172,1865
2010-07,485,2296,155,1488
2010-08,265,2063,210,1425
2010-09,448,2111,170,1379
2010-10,389,2324,153,1338
2010-11,121,2372,65,1329
2010-12,21,2394,175,1488
2011-01,36,2407,83,1508
2011-02,1,2223,63,1483
2011-03,116,2287,46,1453
2011-04,477,2712,298,1686
2011-05,268,2871,165,1755
2011-06,313,2940,99,1682
2011-07,225,2680,93,1620
2011-08,163,2578,240,1650
2011-09,254,2384,170,1650
2011-10,386,2381,102,1599
2011-11,133,2393,16,1550
2011-12,75,2446,40,1415
2012-01,22,2432,33,1365
2012-02,307,2737,107,1409
2012-03,60,2681,53,1416
2012-04,233,2437,71,1189
2012-05,99,2268,43,1067
2012-06,108,2062,35,1003
2012-07,214,2051,140,1050
2012-08,522,2410,232,1042
2012-09,283,2439,431,1303
2012-10,277,2331,487,1688
2012-11,205,2403,55,1727
2012-12,131,2459,82,1769
2013-01,9,2447,35,1771
2013-02,270,2410,45,1709
2013-03,28,2378,80,1736
2013-04,147,2293,140,1805
2013-05,465,2659,84,1846
2013-06,210,2762,184,1995
2013-07,217,2766,152,2007
2013-08,289,2532,185,1960
2013-09,443,2692,103,1632
2013-10,155,2569,43,1188
2013-11,108,2472,37,1170
2013-12,93,2434,56,1144
2014-01,75,2500,107,1216
2014-02,119,2349,11,1182
2014-03,53,2374,20,1122
2014-04,166,2394,100,1082
2014-05,271,2200,185,1183
2014-06,535,2525,843,1842
2014-07,729,3036,355,2045
2014-08,890,3638,437,2297
2014-09,736,3931,402,2596
2014-10,298,4074,244,2797
2014-11,77,4043,195,2955
2014-12,85,4035,95,2994
2015-01,129,4089,289,3176
2015-02,61,4031,42,3207
2015-03,155,4133,58,3245
2015-04,334,4301,137,3282
2015-05,588,4618,389,3486
2015-06,855,4937,494,3137
2015-07,914,5122,542,3324
2015-08,654,4885,415,3302
2015-09,504,4653,229,3129
2015-10,377,4732,230,3115
2015-11,240,4896,99,3019
2015-12,89,4899,175,3099
2016-01,63,4832,52,2862
2016-02,534,5305,52,2820
2016-03,123,5274,213,2975
2016-04,436,5375,183,3021
2016-05,784,5571,474,3106
2016-06,1431,6147,972,3584
2016-07,738,5971,539,3581
2016-08,1023,5921,582,3748
2016-09,688,5889,387,3906
2016-10,741,5858,202,3878
2016-11,366,5890,37,3816
2016-12,17,5866,37,3641
2017-01,58,6938,42,3631
2017-02,101,6505,42,3631
2017-03,74,6456,97,3515
2017-04,125,6145,96,3428
2017-05,348,5709,365,3319
2017-06,589,4868,537,2884
2017-07,455,4585,544,2889
2017-08,289,3852,184,2491
2017-09,393,3556,241,2345
2017-10,456,3272,261,2404
2017-11,359,3265,56,2423
2017-12,289,3538,184,2607
2018-01,179,3659,70,2635
2018-02,151,3708,214,2849
2018-03,358,3993,287,3039
2018-04,508,4376,217,3160
2018-05,538,4565,634,3429
2018-06,505,4481,1169,4061
2018-07,610,4635,778,4295
2018-08,520,4865,545,4656
2018-09,723,5195,444,4859
2018-10,491,5230,187,4785
2018-11,265,5136,287,5016
2018-12,67,4914,246,5078
2019-01,140,4875,108,5116
2019-02,131,4855,93,4995
2019-03,242,4739,67,4775
2019-04,238,4468,195,4753
2019-05,702,4633,797,4916
2019-06,919,5048,801,4548
2019-07,2092,6530,1287,5054
2019-08,1695,7706,886,5398
2019-09,1443,8427,802,5756
2019-10,555,8491,583,6152
2019-11,523,8749,342,6219
2019-12,187,8870,227,6200
