Date,N2O level
2010-01,323.7
2010-02,323.85
2010-03,323.94
2010-04,324.08
2010-05,323.85
2010-06,323.73
2010-07,323.66
2010-08,323.47
2010-09,323.49
2010-10,323.66
2010-11,324.07
2010-12,324.34
2011-01,324.55
2011-02,324.61
2011-03,324.69
2011-04,324.76
2011-05,324.77
2011-06,324.56
2011-07,324.44
2011-08,324.27
2011-09,324.45
2011-10,324.78
2011-11,325.03
2011-12,325.38
2012-01,325.63
2012-02,325.52
2012-03,325.78
2012-04,325.94
2012-05,325.85
2012-06,325.51
2012-07,325
2012-08,325.19
2012-09,325.03
2012-10,325.56
2012-11,325.96
2012-12,326.19
2013-01,326.26
2013-02,326.59
2013-03,326.65
2013-04,326.72
2013-05,326.78
2013-06,326.68
2013-07,326.58
2013-08,326.24
2013-09,326.09
2013-10,326.46
2013-11,326.72
2013-12,327.02
2014-01,327.05
2014-02,327.22
2014-03,327.47
2014-04,327.53
2014-05,327.87
2014-06,327.67
2014-07,327.12
2014-08,327.56
2014-09,327.71
2014-10,327.86
2014-11,328.2
2014-12,328.34
2015-01,328.48
2015-02,328.61
2015-03,328.61
2015-04,328.7
2015-05,328.78
2015-06,328.68
2015-07,328.34
2015-08,328.25
2015-09,328.26
2015-10,328.55
2015-11,328.78
2015-12,329.09
2016-01,329.33
2016-02,329.4
2016-03,329.42
2016-04,329.51
2016-05,329.59
2016-06,329.41
2016-07,329.37
2016-08,329.11
2016-09,329.06
2016-10,329.35
2016-11,329.68
2016-12,330.01
2017-01,330.26
2017-02,330.44
2017-03,330.58
2017-04,330.45
2017-05,330.38
2017-06,329.78
2017-07,330.45
2017-08,328.45
2017-09,329.75
2017-10,330.43
2017-11,331.08
2017-12,331.24
2018-01,331.19
2018-02,331.49
2018-03,331.37
2018-04,331.53
2018-05,331.59
2018-06,331.29
2018-07,331.18
2018-08,330.87
2018-09,331.03
2018-10,331.34
2018-11,331.71
2018-12,331.95
2019-01,332.2
2019-02,332.45
2019-03,332.46
2019-04,332.48
2019-05,332.47
2019-06,332.23
2019-07,332.01
2019-08,331.72
2019-09,331.84
2019-10,332.03
2019-11,332.38
2019-12,332.55
