Date,Temperature
2001-01-01,10.135059914959422
2002-01-01,10.261585606959276
2003-01-01,10.993345513991729
2004-01-01,10.986559633027523
2005-01-01,10.880394724534654
2006-01-01,10.918529548627305
2007-01-01,10.282789741756794
2008-01-01,9.752459998288721
2009-01-01,10.272846715328486
2010-01-01,10.959621275410685
2011-01-01,9.864095840868009
2012-01-01,10.53457969683044
2013-01-01,11.254460766750304
2014-01-01,12.053367193378442
2015-01-01,12.320477458626584
2016-01-01,13.140426520176163
2017-01-01,11.918528775421775
2018-01-01,12.13319808630042
2019-01-01,11.89085852977877
